CTSH
SFXN4
AC127537.3
DCAF8L1
RBM45
COL4A3
SCRN3
NIPAL1
TIMMDC1
MAP2K6
CDK8
ACBD5
AP3D1
SUSD1
AGBL1
AC092183.1
ZNRF1
SLC8A1
KIAA0141
ZNF783
AC004924.1
TRIM60P17
FBXL12
AL162311.3
MTMR9LP
ST6GALNAC6
GINS2
KLF12
AC004231.1
LINC02556
SEL1L
CDHR3
AC016205.1
HEATR3
ALDH7A1
TMEM41A
ASNSD1
SEPT10
RPS10P5
AC010722.1
AL360181.3
LIN7B
STAG3L3
CGA
ZFP1
CYCS
UPF1
TTPA
TSPAN13
PITPNM2
AC009065.8
CDC25A
GART
SYNGR2
STK10
MAGOH3P
SPINK5
BORCS6
PRRG1
PPM1M
PNPT1
AL356277.3
RPS20P24
DDA1
C2orf69
VEGFB
RDH16
NCOR1P3
THAP12
AL163051.1
HMGB4
NCOR1P1
KRT18
AL049874.1
CEBPB-AS1
SNRNP200
CCDC175
AL450306.1
AC091544.5
THCAT158
AGTRAP
AC007041.1
LINC02361
ISCA1P6
IGFALS
AC015720.2
CBWD5
DUSP13
FAM174A
MECOM
MYO1F
NXF3
UBN2
TRIM27
AC024257.1
PDE8A
KCTD7
PTK6
AGAP8
AC005695.3
TMPRSS3
AC012671.1
AC090200.1
AC092142.1
AL158071.4
TAC3
CST4
COPB2
C16orf91
AC021006.1
AC026785.2
MROH6
PLPP5
ALDH1L2
TMEM267
DLC1
RAB25
IFI27
RGS19
PABPN1L
AL109628.1
EXO5
OR56A3
GADD45A
MTMR6
LGALS3BP
MRGBP
AC093323.1
APOC1
EWSAT1
AP005482.1
RARRES2P10
ELOCP2
AC017079.2
RPL21P91
OR7E126P
SP2
COPRS
SLC10A5
LEPROT
AC006511.3
RPUSD4
MYO10
SOD1P3
RBFOX2
ZFAT
ARL4D
LINC01208
AL109811.3
NR2C2
AP002851.1
CREB3L1
SLITRK5
SULT2B1
HSPE1P4
AUNIP
ZNF597
GPC6
AC083806.2
CEP152
PRR7
SGK494
UNC5A
TBX2
DLL1
ABCD4
CHD8
MEGF8
HERC5
KIAA1671
OXSM
CTF1
COA3
ESR2
AL035461.2
AC022296.3
SMAD1
MT2P1
LINC00857
PIGH
AL358942.1
RPL23AP38
MIR600HG
MYZAP
MRRFP1
DUSP1
AL160006.1
SORBS3
CKS2
IVNS1ABP
HSPG2
NHLRC3
FAM161A
AL121832.3
BX322639.1
FIGNL1
TNFSF15
MEA1
PARP9
C1DP1
KDELR3
AAGAB
SUMO1
HSDL2
GRAMD1C
ATP5EP2
AC074290.1
AC097523.1
TESK1
RBMS2
PPP4R4
C14orf79
AL355922.2
NR2F1-AS1
AC099778.1
PYCARD
BLZF2P
AL031985.2
AC063943.2
C2orf49
GAS5
CRKL
TBC1D17
AL139811.2
KIAA1586
AC067945.3
AC092809.4
FBXW12
TAPT1-AS1
PLXND1
SH2D2A
RBMS1
SDCCAG3
BACH1-AS1
PCBP4
UBXN11
AC022405.1
MYEF2
AEBP2
KRT8P33
TRIM46
AC008065.1
CRISPLD2
DYRK1A
AC092807.2
AP001453.3
C12orf45
ARF1
LINC01965
MT-CO2
AC115618.3
AC023512.1
BX276092.3
IL20RB
ORC1
USP39
DAB2IP
ADGRD1-AS1
RHOXF1-AS1
OIT3
DNA2
DNAJC22
GPN2
ADAM9
FXYD7
AC005009.1
KRT19
AC007387.1
KRT18P61
FOXO3
CPSF3
MAML3
CHST15
ABRAXAS2
GXYLT1
CLMP
CENPC
RNU7-45P
C1orf122
ZCCHC2
RPS17P15
AQP11
COMMD5
FBXO31
STX18
AC016722.3
LINC01715
AL138752.1
ARRDC3
CTSD
RPL9P21
FTH1P3
SPIDR
AC134312.5
AC004241.5
MARS2
RPL5P18
AC073578.2
AC099677.1
TMEM30A
AC112719.1
TRUB2
WDR18
OAF
AC015726.2
FAM225A
RPL37P10
AP1G2
MCFD2P1
AC067852.2
RSRC2
SMARCA4
CD59
AC026403.1
AC012213.3
RIOX2
COL16A1
AC105219.2
LEAP2
DNAJC9-AS1
TBL1X
PSMA6P2
MRPL42
AL138759.1
SKIV2L
FPR3
WSB1
RPS15AP12
CTDSP2
RANBP3
AP003174.1
RPS27AP3
CEP57L1
PLCL1
PIGQ
COQ10A
GREB1L
RPL19
CRELD2
AC090602.1
PKIB
ZSCAN16-AS1
SNHG1
MARCH3
PPP1R14C
AC023043.4
CMBL
CFAP97
KIAA1551
AL078604.2
TLE1
AXIN2
AKIRIN2
SDHAF4
AC013565.1
FGD2
AC138207.4
AC107027.3
LINC00858
POFUT2
MYOM3
DDR1-AS1
C20orf202
TBC1D22B
SH3BGRL2
FRMPD3
ST8SIA5
ID1
MTUS1
AC007611.1
AL132640.1
RIMKLA
GDI2
RAB2B
ASH1L-AS1
EIF3K
GLRA4
UBR7
ATXN7L1
NPM1P38
AC093827.1
RNU5A-8P
CSTA
AL450992.2
IQSEC2
SPRY1
AC093503.1
EGR3
AL391095.3
DUSP23
LRRC9
AC005840.5
FOXR2
BARD1
AC074052.1
AL008718.3
EML5
PHF6
LTBP2
AC010519.1
AKR7A2P1
TESK2
CDC5L
PEX26
PSMF1
AC098828.1
SIAH2
CAPN5
LINC01356
ARMCX4
RPL24P2
BX248409.1
AP002884.1
RAB33B
AC069120.2
RBBP5
METAP2
NPR3
DEPDC1
AC133644.2
